timestamp,username,source_ip,asset,action,status,event_message
2026-01-01 08:01:46,bob,192.168.1.170,database,data_transfer,success,Transferred 7173465 bytes
2026-01-01 08:18:11,david,192.168.1.170,database,data_transfer,success,Transferred 4337362 bytes
2026-01-01 08:24:20,eve,192.168.1.170,database,data_transfer,success,Transferred 4720494 bytes
2026-01-01 08:30:56,bob,192.168.1.170,database,data_transfer,success,Transferred 2634395 bytes
2026-01-01 08:29:30,eve,192.168.1.170,database,data_transfer,success,Transferred 8690544 bytes
2026-01-01 08:15:20,alice,192.168.1.170,database,data_transfer,success,Transferred 9323386 bytes
2026-01-01 08:42:23,alice,192.168.1.170,database,data_transfer,success,Transferred 8202409 bytes
2026-01-01 08:44:30,alice,192.168.1.170,database,data_transfer,success,Transferred 4449261 bytes
2026-01-01 08:58:29,bob,192.168.1.170,database,data_transfer,success,Transferred 6795505 bytes
2026-01-01 08:20:14,eve,192.168.1.170,database,data_transfer,success,Transferred 6412946 bytes
2026-01-01 08:42:29,david,192.168.1.170,database,data_transfer,success,Transferred 7697967 bytes
2026-01-01 08:23:00,alice,192.168.1.170,database,data_transfer,success,Transferred 2295466 bytes
2026-01-01 08:08:49,alice,192.168.1.170,database,data_transfer,success,Transferred 8551109 bytes
2026-01-01 08:11:54,alice,192.168.1.170,database,data_transfer,success,Transferred 1287146 bytes
2026-01-01 08:51:06,eve,192.168.1.170,database,data_transfer,success,Transferred 2060792 bytes
2026-01-01 08:27:53,charlie,192.168.1.170,database,data_transfer,success,Transferred 9828038 bytes
2026-01-01 08:56:56,charlie,192.168.1.170,database,data_transfer,success,Transferred 1585185 bytes
2026-01-01 08:17:25,eve,192.168.1.170,database,data_transfer,success,Transferred 778561 bytes
2026-01-01 08:52:36,alice,192.168.1.170,database,data_transfer,success,Transferred 6721049 bytes
2026-01-01 08:08:23,david,192.168.1.170,database,data_transfer,success,Transferred 9546387 bytes
2026-01-01 08:01:56,bob,192.168.1.170,database,data_transfer,success,Transferred 3262099 bytes
2026-01-01 08:14:57,david,192.168.1.170,database,data_transfer,success,Transferred 8560412 bytes
2026-01-01 08:26:48,bob,192.168.1.170,database,data_transfer,success,Transferred 6108249 bytes
2026-01-01 08:04:46,eve,192.168.1.170,database,data_transfer,success,Transferred 514354 bytes
2026-01-01 08:34:56,david,192.168.1.170,database,data_transfer,success,Transferred 1916920 bytes
2026-01-01 08:12:28,bob,192.168.1.170,database,data_transfer,success,Transferred 6259262 bytes
2026-01-01 08:32:06,eve,192.168.1.170,database,data_transfer,success,Transferred 1769402 bytes
2026-01-01 08:35:28,david,192.168.1.170,database,data_transfer,success,Transferred 3270732 bytes
2026-01-01 08:01:49,bob,192.168.1.170,database,data_transfer,success,Transferred 4625618 bytes
2026-01-01 08:16:25,bob,192.168.1.170,database,data_transfer,success,Transferred 7792457 bytes
2026-01-01 08:35:17,bob,192.168.1.170,database,data_transfer,success,Transferred 1400534 bytes
2026-01-01 08:14:37,charlie,192.168.1.170,database,data_transfer,success,Transferred 1183557 bytes
2026-01-01 08:00:51,charlie,192.168.1.170,database,data_transfer,success,Transferred 4063861 bytes
2026-01-01 08:27:24,bob,192.168.1.170,database,data_transfer,success,Transferred 742143 bytes
2026-01-01 08:08:46,alice,192.168.1.170,database,data_transfer,success,Transferred 7830745 bytes
2026-01-01 08:52:22,alice,192.168.1.170,database,data_transfer,success,Transferred 2529608 bytes
2026-01-01 08:26:28,alice,192.168.1.170,database,data_transfer,success,Transferred 1393611 bytes
2026-01-01 08:48:33,charlie,192.168.1.170,database,data_transfer,success,Transferred 5909296 bytes
2026-01-01 08:53:41,alice,192.168.1.170,database,data_transfer,success,Transferred 1439923 bytes
2026-01-01 08:42:10,alice,192.168.1.170,database,data_transfer,success,Transferred 7332424 bytes
