timestamp,username,source_ip,asset,action,status,event_message
2026-01-01 23:34:24,david,192.168.1.27,server-02,logout,success,Normal activity
2026-01-01 13:46:33,bob,192.168.1.28,server-02,logout,success,Normal activity
2026-01-02 03:58:24,eve,192.168.1.50,database,login,success,Normal activity
2026-01-01 17:42:26,alice,192.168.1.14,mail-server,login,success,Normal activity
2026-01-01 14:35:44,eve,192.168.1.30,web-app,access_file,success,Normal activity
2026-01-01 08:15:58,alice,192.168.1.43,web-app,login,success,Normal activity
2026-01-02 03:38:06,charlie,192.168.1.42,server-02,login,success,Normal activity
2026-01-01 10:35:31,charlie,192.168.1.34,server-02,update_record,success,Normal activity
2026-01-01 19:59:52,eve,192.168.1.21,web-app,logout,success,Normal activity
2026-01-01 19:40:07,bob,192.168.1.43,server-01,login,success,Normal activity
2026-01-01 14:26:49,charlie,192.168.1.38,mail-server,logout,success,Normal activity
2026-01-01 13:42:15,bob,192.168.1.42,web-app,login,success,Normal activity
2026-01-02 02:54:44,david,192.168.1.38,web-app,update_record,success,Normal activity
2026-01-01 21:52:46,bob,192.168.1.38,database,login,success,Normal activity
2026-01-02 01:23:14,eve,192.168.1.18,server-01,login,success,Normal activity
2026-01-02 02:20:04,alice,192.168.1.19,database,login,success,Normal activity
2026-01-01 19:01:11,charlie,192.168.1.22,mail-server,logout,success,Normal activity
2026-01-01 14:39:27,bob,192.168.1.7,web-app,access_file,success,Normal activity
2026-01-01 08:50:54,bob,192.168.1.37,database,update_record,success,Normal activity
2026-01-01 10:01:31,eve,192.168.1.32,mail-server,update_record,success,Normal activity
2026-01-02 03:28:04,bob,192.168.1.14,server-02,logout,success,Normal activity
2026-01-02 00:10:45,charlie,192.168.1.11,server-01,update_record,success,Normal activity
2026-01-01 19:54:17,charlie,192.168.1.59,database,update_record,success,Normal activity
2026-01-02 07:02:32,eve,192.168.1.1,server-02,logout,success,Normal activity
2026-01-01 19:35:57,eve,192.168.1.31,mail-server,login,success,Normal activity
2026-01-01 18:44:34,bob,192.168.1.52,server-01,login,success,Normal activity
2026-01-01 15:57:22,bob,192.168.1.15,mail-server,login,success,Normal activity
2026-01-01 12:32:58,david,192.168.1.10,server-01,update_record,success,Normal activity
2026-01-02 05:20:13,eve,192.168.1.49,server-02,logout,success,Normal activity
2026-01-02 04:19:41,david,192.168.1.40,server-02,logout,success,Normal activity
2026-01-01 09:31:44,alice,192.168.1.38,database,login,success,Normal activity
2026-01-01 21:39:49,alice,192.168.1.19,mail-server,update_record,success,Normal activity
2026-01-01 18:33:11,charlie,192.168.1.3,server-01,logout,success,Normal activity
2026-01-01 23:27:13,alice,192.168.1.7,server-02,update_record,success,Normal activity
2026-01-02 03:26:10,alice,192.168.1.45,server-02,update_record,success,Normal activity
2026-01-01 09:50:53,charlie,192.168.1.36,server-02,logout,success,Normal activity
2026-01-02 01:01:14,alice,192.168.1.55,server-02,login,success,Normal activity
2026-01-01 08:34:14,bob,192.168.1.24,mail-server,login,success,Normal activity
2026-01-02 00:59:49,charlie,192.168.1.17,mail-server,access_file,success,Normal activity
2026-01-01 15:51:37,david,192.168.1.57,web-app,login,success,Normal activity
2026-01-02 02:43:50,alice,192.168.1.27,database,login,success,Normal activity
2026-01-01 14:01:03,david,192.168.1.18,server-01,login,success,Normal activity
2026-01-02 04:03:27,eve,192.168.1.37,web-app,access_file,success,Normal activity
2026-01-01 17:18:44,bob,192.168.1.11,database,logout,success,Normal activity
2026-01-01 21:48:41,eve,192.168.1.12,mail-server,access_file,success,Normal activity
2026-01-01 09:48:39,david,192.168.1.6,server-01,access_file,success,Normal activity
2026-01-01 22:37:01,david,192.168.1.27,server-01,access_file,success,Normal activity
2026-01-02 04:30:43,alice,192.168.1.28,web-app,logout,success,Normal activity
2026-01-02 00:04:59,charlie,192.168.1.6,web-app,update_record,success,Normal activity
2026-01-02 03:55:30,charlie,192.168.1.29,server-02,logout,success,Normal activity
2026-01-02 00:31:33,charlie,192.168.1.52,server-02,logout,success,Normal activity
2026-01-01 16:40:27,david,192.168.1.9,server-01,login,success,Normal activity
2026-01-02 01:48:52,charlie,192.168.1.6,database,access_file,success,Normal activity
2026-01-02 01:11:47,eve,192.168.1.10,server-02,access_file,success,Normal activity
2026-01-01 13:55:10,eve,192.168.1.18,database,update_record,success,Normal activity
2026-01-02 03:31:17,bob,192.168.1.55,server-01,login,success,Normal activity
2026-01-01 14:04:53,bob,192.168.1.45,server-01,login,success,Normal activity
2026-01-02 00:47:26,eve,192.168.1.36,web-app,access_file,success,Normal activity
2026-01-01 18:59:54,charlie,192.168.1.4,server-01,login,success,Normal activity
2026-01-02 05:40:02,bob,192.168.1.42,mail-server,logout,success,Normal activity
2026-01-02 00:19:55,bob,192.168.1.55,server-01,access_file,success,Normal activity
2026-01-02 02:53:11,david,192.168.1.51,mail-server,login,success,Normal activity
2026-01-01 14:13:37,eve,192.168.1.26,database,access_file,success,Normal activity
2026-01-01 09:54:22,charlie,192.168.1.37,mail-server,login,success,Normal activity
2026-01-01 16:15:04,david,192.168.1.21,database,logout,success,Normal activity
2026-01-01 14:10:13,david,192.168.1.16,database,access_file,success,Normal activity
2026-01-02 01:00:55,david,192.168.1.7,database,logout,success,Normal activity
2026-01-01 09:39:29,alice,192.168.1.1,mail-server,login,success,Normal activity
2026-01-02 07:10:51,bob,192.168.1.31,web-app,access_file,success,Normal activity
2026-01-01 20:30:40,eve,192.168.1.2,server-01,access_file,success,Normal activity
2026-01-01 21:38:05,bob,192.168.1.50,web-app,logout,success,Normal activity
2026-01-01 20:43:39,alice,192.168.1.52,mail-server,update_record,success,Normal activity
2026-01-02 02:54:56,alice,192.168.1.50,server-01,update_record,success,Normal activity
2026-01-01 23:14:27,alice,192.168.1.16,database,login,success,Normal activity
2026-01-01 15:35:21,eve,192.168.1.2,web-app,login,success,Normal activity
2026-01-02 04:49:40,david,192.168.1.52,server-01,logout,success,Normal activity
2026-01-01 11:01:41,alice,192.168.1.54,server-02,access_file,success,Normal activity
2026-01-01 09:50:46,eve,192.168.1.14,mail-server,access_file,success,Normal activity
2026-01-01 20:28:06,alice,192.168.1.20,server-01,logout,success,Normal activity
2026-01-01 09:11:51,bob,192.168.1.38,server-01,logout,success,Normal activity
2026-01-01 09:31:44,charlie,192.168.1.42,database,access_file,success,Normal activity
2026-01-02 07:10:48,david,192.168.1.34,server-02,login,success,Normal activity
2026-01-01 09:53:31,david,192.168.1.15,web-app,login,success,Normal activity
2026-01-01 11:42:29,eve,192.168.1.31,server-02,access_file,success,Normal activity
2026-01-02 04:09:03,alice,192.168.1.8,server-02,login,success,Normal activity
2026-01-01 20:11:37,alice,192.168.1.53,mail-server,access_file,success,Normal activity
2026-01-02 02:09:32,eve,192.168.1.41,mail-server,access_file,success,Normal activity
2026-01-01 19:56:52,alice,192.168.1.9,database,access_file,success,Normal activity
2026-01-01 10:32:45,david,192.168.1.32,database,logout,success,Normal activity
2026-01-02 07:01:55,bob,192.168.1.39,server-02,logout,success,Normal activity
2026-01-01 08:09:06,eve,192.168.1.19,database,logout,success,Normal activity
2026-01-01 14:58:39,alice,192.168.1.41,mail-server,login,success,Normal activity
2026-01-01 17:35:22,eve,192.168.1.31,server-02,logout,success,Normal activity
